id,name
1000404-013,玉山里
1000404-014,大同里
1000404-015,石光里
1000404-016,上林里
1000404-017,新力里
1000404-018,南和里
1000404-019,東山里
1000404-020,南新里
1000404-021,東平里
1000405-001,孝勢村
1000405-002,仁勢村
1000405-003,愛勢村
1000405-004,信勢村
1000405-005,中勢村
1000405-006,德盛村
1000405-007,和興村
1000405-008,長嶺村
1000405-009,長安村
1000405-010,湖口村
1000405-011,湖鏡村
1000405-012,湖南村
1000405-013,波羅村
1000405-014,鳳凰村
1000405-015,鳳山村
1000405-016,中興村
1000405-017,信義村
1000405-018,中正村
1000405-019,東興村
1000405-020,勝利村
1000406-001,福興村
1000406-002,後湖村
1000406-003,青埔村
1000406-004,埔和村
1000406-005,瑞興村
1000406-006,坡頭村
1000406-007,中崙村
1000406-008,重興村
1000406-009,新豐村
1000406-010,員山村
1000406-011,松林村
1000406-012,上坑村
1000406-013,鳳坑村
1000406-014,忠孝村
1000406-015,山崎村
1000406-016,松柏村
1000406-017,崎頂村
1000407-001,五龍村
1000407-002,華龍村
1000407-003,秀湖村
1000407-004,永興村
1000407-005,石潭村
1000407-006,新鳳村
1000407-007,中坑村
1000407-008,水坑村
1000407-009,文林村
1000407-010,芎林村
1000407-011,上山村
1000407-012,下山村
1000408-001,橫山村
1000408-002,田寮村
1000408-003,南昌村
1000408-004,豐鄉村
1000408-005,豐田村
1000408-006,內灣村
1000408-007,福興村
1000408-008,沙坑村
1000408-009,新興村
1000408-010,大肚村
1000408-011,力行村
1000409-001,北埔村
1000409-002,南興村
1000409-003,埔尾村
1000409-004,水磜村
1000409-005,南埔村
1000409-006,大林村
1000409-007,大湖村
1000409-008,南坑村
1000409-009,外坪村
1000410-001,雙溪村
1000410-002,大崎村
1000410-003,三峰村
1000410-004,新城村
1000410-005,深井村
1000410-006,寶斗村
1000410-007,山湖村
1000410-008,寶山村
1000410-009,油田村
1000410-010,雙新村
1000411-001,峨眉村
1000411-002,中盛村
1000411-003,石井村
1000411-004,富興村
1000411-005,七星村
1000411-006,湖光村
1000412-001,義興村
1000412-002,嘉樂村
1000412-003,新樂村
1000412-004,梅花村
1000412-005,錦屏村
1000412-006,玉峰村
1000412-007,秀巒村
1000413-001,大隘村
1000413-002,花園村
1000413-003,竹林村
1000413-004,桃山村
1000501-001,中苗里
1000501-002,建功里
1000501-003,青苗里
1000501-004,玉清里
1000501-005,玉華里
1000501-006,維新里
1000501-007,維祥里
1000501-008,綠苗里
1000501-009,高苗里
1000501-010,玉苗里
1000501-011,大同里
1000501-012,新苗里
1000501-013,勝利里
1000501-014,恭敬里
1000501-015,上苗里
1000501-016,北苗里
1000501-017,清華里
1000501-018,嘉盛里
1000501-019,福星里
1000501-020,新川里
1000501-021,文山里
1000501-022,福麗里
1000501-023,水源里
1000501-024,新英里
1000501-025,福安里
1000501-026,嘉新里
1000501-027,南勢里
1000501-028,文聖里
1000502-001,苑東里
1000502-002,苑南里
1000502-003,苑北里
1000502-004,西平里
1000502-005,苑港里
1000502-006,西勢里
1000502-007,海岸里
1000502-008,房裡里
1000502-009,客庄里
1000502-010,中正里
1000502-011,苑坑里
1000502-012,水坡里
1000502-013,新復里
1000502-014,山脚里
1000502-015,舊社里
1000502-016,福田里
1000502-017,石鎮里
1000502-018,蕉埔里
1000502-019,社苓里
1000502-020,泰田里
1000502-021,上舘里
1000502-022,玉田里
1000502-023,南勢里
1000502-024,山柑里
1000502-025,田心里
1000503-001,通東里
1000503-002,通西里
1000503-003,平元里
1000503-004,梅南里
1000503-005,圳頭里
1000503-006,通南里
1000503-007,城北里
1000503-008,城南里
1000503-009,南和里
1000503-010,福興里
1000503-011,坪頂里
1000503-012,五南里
1000503-013,五北里
1000503-014,內湖里
1000503-015,楓樹里
1000503-016,烏眉里
1000503-017,福龍里
1000503-018,福源里
1000503-019,通灣里
1000503-020,新埔里
1000503-021,內島里
1000503-022,白東里
1000503-023,白西里
1000503-024,平安里
1000504-001,竹南里
1000504-002,照南里
1000504-003,正南里
1000504-004,新南里
1000504-005,大厝里
1000504-006,營盤里
1000504-007,聖福里
1000504-008,竹興里
1000504-009,龍鳳里
1000504-010,山佳里
1000504-011,中港里
1000504-012,中華里
1000504-013,中英里
1000504-014,中美里
1000504-015,開元里
1000504-016,海口里
1000504-017,港墘里
1000504-018,公舘里
1000504-019,大埔里
1000504-020,頂埔里
1000504-021,崎頂里
1000504-022,公義里
1000504-023,佳興里
1000504-024,天文里
1000504-025,龍山里
1000505-001,流東里
1000505-002,珊湖里
1000505-003,斗煥里
1000505-004,新華里
1000505-005,興隆里
1000505-006,上埔里
1000505-007,土牛里
1000505-008,頭份里
1000505-009,忠孝里
1000505-010,仁愛里
1000505-011,信義里
1000505-012,和平里
1000505-013,民族里
1000505-014,東庄里
1000505-015,後庄里
1000505-016,山下里
1000505-017,蟠桃里
1000505-018,田寮里
1000505-019,蘆竹里
1000505-020,上興里
1000505-021,下興里
1000505-022,尖山里
1000505-023,尖下里
1000505-024,廣興里
1000505-025,濫坑里
1000505-026,民權里
1000505-027,民生里
1000505-028,建國里
1000505-029,成功里
1000505-030,自強里
1000505-031,合興里
1000505-032,文化里
1000506-001,南龍里
1000506-002,中龍里
1000506-003,北龍里
1000506-004,大庄里
1000506-005,溪洲里
1000506-006,豐富里
1000506-007,校椅里
1000506-008,埔頂里
1000506-009,新民里
1000506-010,復興里
1000506-011,東明里
1000506-012,大山里
1000506-013,灣寶里
1000506-014,海寶里
1000506-015,外埔里
1000506-016,海埔里
1000506-017,秀水里
1000506-018,水尾里
1000506-019,龍津里
1000506-020,龍坑里
1000506-021,福寧里
1000506-022,中和里
1000506-023,南港里
1000507-001,中街里
1000507-002,新厝里
1000507-003,上新里
1000507-004,豐田里
1000507-005,西坪里
1000507-006,景山里
1000507-007,老庄里
1000507-008,新榮里
1000507-009,內灣里
1000507-010,苗豐里
1000507-011,坪林里
1000508-001,大湖村
1000508-002,明湖村
1000508-003,靜湖村
1000508-004,富興村
1000508-005,大南村
1000508-006,大寮村
1000508-007,南湖村
1000508-008,義和村
1000508-009,東興村
1000508-010,武榮村
1000508-011,栗林村
1000508-012,新開村
1000509-001,館中村
1000509-002,館東村
1000509-003,館南村
1000509-004,大坑村
1000509-005,中義村
1000509-006,玉泉村
1000509-007,石墻村
1000509-008,福基村
1000509-009,福星村
1000509-010,開礦村
1000509-011,福德村
1000509-012,五谷村
1000509-013,玉谷村
1000509-014,鶴岡村
1000509-015,鶴山村
1000509-016,仁安村
1000509-017,尖山村
1000509-018,南河村
1000509-019,北河村
1000510-001,福興村
1000510-002,銅鑼村
1000510-003,朝陽村
1000510-004,樟樹村
1000510-005,九湖村
1000510-006,竹森村
1000510-007,中平村
1000510-008,興隆村
1000510-009,盛隆村
1000510-010,新隆村
1000511-001,東村
1000511-002,西村
1000511-003,南江村
1000511-004,田美村
1000511-005,獅山村
1000511-006,南富村
1000511-007,員林村
1000511-008,蓬萊村
1000511-009,東河村
1000512-001,頭屋村
1000512-002,象山村
1000512-003,北坑村
1000512-004,獅潭村
1000512-005,曲洞村
1000512-006,飛鳳村
1000512-007,明德村
1000512-008,鳴鳳村
1000513-001,廣盛村
1000513-002,双湖村
1000513-003,双潭村
1000513-004,勝興村
1000513-005,西湖村
1000513-006,龍騰村
1000513-007,鯉魚潭村
1000514-001,高埔村
1000514-002,下埔村
1000514-003,五湖村
1000514-004,四湖村
1000514-005,金獅村
1000514-006,龍洞村
1000514-007,三湖村
1000514-008,湖東村
1000514-009,二湖村
1000515-001,造橋村
1000515-002,平興村
1000515-003,豐湖村
1000515-004,大西村
1000515-005,錦水村
